ENSG00000000003	ENSG00000000003	Gene Expression
ENSG00000000005	ENSG00000000005	Gene Expression
ENSG00000000419	ENSG00000000419	Gene Expression
ENSG00000000457	ENSG00000000457	Gene Expression
ENSG00000000460	ENSG00000000460	Gene Expression
ENSG00000000938	ENSG00000000938	Gene Expression
ENSG00000000971	ENSG00000000971	Gene Expression
ENSG00000001036	ENSG00000001036	Gene Expression
ENSG00000001084	ENSG00000001084	Gene Expression
ENSG00000001167	ENSG00000001167	Gene Expression
ENSG00000001460	ENSG00000001460	Gene Expression
ENSG00000001461	ENSG00000001461	Gene Expression
ENSG00000001497	ENSG00000001497	Gene Expression
ENSG00000001561	ENSG00000001561	Gene Expression
ENSG00000001617	ENSG00000001617	Gene Expression
ENSG00000001626	ENSG00000001626	Gene Expression
ENSG00000001629	ENSG00000001629	Gene Expression
ENSG00000001630	ENSG00000001630	Gene Expression
ENSG00000001631	ENSG00000001631	Gene Expression
ENSG00000002016	ENSG00000002016	Gene Expression
ENSG00000002330	ENSG00000002330	Gene Expression
ENSG00000002549	ENSG00000002549	Gene Expression
ENSG00000002586	ENSG00000002586	Gene Expression
ENSG00000002587	ENSG00000002587	Gene Expression
ENSG00000002726	ENSG00000002726	Gene Expression
ENSG00000002745	ENSG00000002745	Gene Expression
ENSG00000002746	ENSG00000002746	Gene Expression
ENSG00000002822	ENSG00000002822	Gene Expression
ENSG00000002834	ENSG00000002834	Gene Expression
ENSG00000002919	ENSG00000002919	Gene Expression
ENSG00000002933	ENSG00000002933	Gene Expression
ENSG00000003056	ENSG00000003056	Gene Expression
ENSG00000003096	ENSG00000003096	Gene Expression
ENSG00000003137	ENSG00000003137	Gene Expression
ENSG00000003147	ENSG00000003147	Gene Expression
ENSG00000003249	ENSG00000003249	Gene Expression
ENSG00000003393	ENSG00000003393	Gene Expression
ENSG00000003400	ENSG00000003400	Gene Expression
ENSG00000003402	ENSG00000003402	Gene Expression
ENSG00000003436	ENSG00000003436	Gene Expression
ENSG00000003509	ENSG00000003509	Gene Expression
ENSG00000003756	ENSG00000003756	Gene Expression
ENSG00000003987	ENSG00000003987	Gene Expression
ENSG00000003989	ENSG00000003989	Gene Expression
ENSG00000004059	ENSG00000004059	Gene Expression
ENSG00000004139	ENSG00000004139	Gene Expression
ENSG00000004142	ENSG00000004142	Gene Expression
ENSG00000004399	ENSG00000004399	Gene Expression
ENSG00000004468	ENSG00000004468	Gene Expression
ENSG00000004487	ENSG00000004487	Gene Expression
ENSG00000004534	ENSG00000004534	Gene Expression
ENSG00000004660	ENSG00000004660	Gene Expression
ENSG00000004700	ENSG00000004700	Gene Expression
ENSG00000004766	ENSG00000004766	Gene Expression
ENSG00000004776	ENSG00000004776	Gene Expression
ENSG00000004777	ENSG00000004777	Gene Expression
ENSG00000004779	ENSG00000004779	Gene Expression
ENSG00000004799	ENSG00000004799	Gene Expression
ENSG00000004809	ENSG00000004809	Gene Expression
ENSG00000004838	ENSG00000004838	Gene Expression
ENSG00000004846	ENSG00000004846	Gene Expression
ENSG00000004848	ENSG00000004848	Gene Expression
ENSG00000004864	ENSG00000004864	Gene Expression
ENSG00000004866	ENSG00000004866	Gene Expression
ENSG00000004897	ENSG00000004897	Gene Expression
ENSG00000004939	ENSG00000004939	Gene Expression
ENSG00000004948	ENSG00000004948	Gene Expression
ENSG00000004961	ENSG00000004961	Gene Expression
ENSG00000004975	ENSG00000004975	Gene Expression
ENSG00000005001	ENSG00000005001	Gene Expression
ENSG00000005007	ENSG00000005007	Gene Expression
ENSG00000005020	ENSG00000005020	Gene Expression
ENSG00000005022	ENSG00000005022	Gene Expression
ENSG00000005059	ENSG00000005059	Gene Expression
ENSG00000005073	ENSG00000005073	Gene Expression
ENSG00000005100	ENSG00000005100	Gene Expression
ENSG00000005102	ENSG00000005102	Gene Expression
ENSG00000005108	ENSG00000005108	Gene Expression
